,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,20,,,,,,,,22,,,,,,,,14,,,,,,,,,,,,20,,,,,,,,,,,,,
,,22,,,,22,,,,22,,,,22,,,,20,,,,20,,,,20,,,,20,,,,22,,,,22,,,,22,,,,22,,,,20,,,,20,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,
,,,,,,32,34,33,32,34,33,32,33,34,33,32,33,32,33,34,33,32,,,34,33,32,34,33,32,,,31,32,33,32,31,30,,,,32,33,34,33,34,,,,34,33,34,33,32,,,,31,32,33,31,30,,,,,,,,32,34,33,32,34,33,32,33,34,33,32,33,32,33,34,33,32,,,34,33,32,34,33,32,,,31,32,33,32,31,30,,,,32,33,34,33,34,,,,34,33,34,33,32,,,,31,32,33,31,30,,,,,,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,34,,,,,,,,,,,,30,,,,,,,,,,,,,
42,,,,42,,,,42,,,,42,,,,50,,,,50,,,,50,,,,50,,,,42,,,,42,,,,42,,,,42,,,,50,,,,50,,,,50,,,,50,,,,42,,,,42,,,,42,,,,42,,,,50,,,,50,,,,50,,,,50,,,,42,,,,42,,,,42,,,,42,,,,50,,,,50,,,,50,,,,50,,,,,,,,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
